"","INDIVIDUALS","POP_ID"
"1","L155","3"
"2","LIC11","3"
"3","LIC20","3"
"4","LIC23","3"
"5","LIC24","3"
"6","LIC27B","3"
"7","LIC28","3"
"8","LIC31","3"
"9","LIC32","3"
"10","LIC36","3"
"11","LIC46","3"
"12","LIC47","3"
"13","LIC48","3"
"14","LIC54","3"
"15","LIC57","3"
"16","LIC60","3"
"17","LIC8","3"
"18","LIC9","3"
"19","LIT2","3"
"20","LIT5","3"
"21","LRK10","3"
"22","LRK11","3"
"23","LRK12","3"
"24","LRK13","3"
"25","LRK17","3"
"26","LRK22","3"
"27","a109","3"
"28","a182","3"
"29","a202","1"
"30","a33","1"
"31","a475","2"
"32","a494","2"
"33","a507","3"
"34","a697","3"
"35","a772","1"
"36","a794","3"
"37","a803","1"
"38","a818","1"
"39","a857","3"
"40","b114","1"
"41","b124","1"
"42","b13","1"
"43","b188","1"
"44","b23","3"
"45","b276","2"
"46","b554","1"
"47","b90","3"
"48","c165","1"
"49","c323","1"
"50","c548","3"
"51","cb15","3"
"52","cn42","3"
"53","cb7","3"
"54","f264","1"
"55","f457","1"
"56","fha_024","1"
"57","fha_042","1"
"58","fha_043","1"
"59","l09_003","3"
"60","l09_007","1"
"61","l09_015","3"
